A,WIEN,01,UNIVERSITAT WIEN,48.2131284,16.360685994114505,Wien,UNIVERSITATSRING 1,1010,www.univie.ac.at
A,WIEN,02,TECHNISCHE UNIVERSITAET WIEN,48.19853965,16.369861676286614,Wien,KARLSPLATZ 13,1040,www.tuwien.ac.at
A,WIEN,03,UNIVERSITAET FUER BODENKULTUR WIEN,48.23659255,16.3374815751868,Wien,GREGOR MENDEL STRASSE 33,1180,www.boku.ac.at
A,WIEN,04,VETERINAERMEDIZINISCHE UNIVERSITAET WIEN,48.2544615,16.4317222,Vienna,Veterinaerplatz  1,1210,www.vetmeduni.ac.at
A,WIEN,05,WIRTSCHAFTSUNIVERSITAT WIEN,48.2138034,16.40817450036988,Wien,WELTHANDELSPLATZ 1,1020,www.wu.ac.at
A,WIEN,06,AKADEMIE DER BILDENDEN KUNSTE WIEN,48.20142265,16.365633465588807,Vienna,SCHILLERPLATZ 3,1010,http://www.akbild.ac.at
A,WIEN,07,UNIVERSITAT FUR ANGEWANDTE KUNST WIEN,48.2082829,16.38268703857143,Wien,OSKAR KOKOSCHKA PLATZ 2,1010,www.dieangewandte.at
A,WIEN,08,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST WIEN,48.2020489,16.385654122894735,Wien,ANTON VON WEBERN PLATZ 1,1030,www.mdw.ac.at 
A,WIEN,09,PAEDAGOGISCHE HOCHSCHULE WIEN,48.1657465,16.374283686600883,Wien,GRENZACKERSTRASSE 18,1100,www.phwien.ac.at
A,WIEN,10,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE WIEN / KREMS,48.208582750000005,16.37390625304596,Wien,STEPHANSPLATZ 3 IV,1010,www.kphvie.ac.at
A,WIEN,15,HOCHSCHULE FUR AGRAR- UND UMWELTPADAGOGIK,48.184376549999996,16.266386615732777,Wien,Angermayergasse 1,1130,www.agrarumweltpaedagogik.ac.at
A,WIEN,20,FACHHOCHSCHULE TECHNIKUM WIEN,48.2391664,16.3774409,Wien,HOCHSTADTPLATZ 6,1200,www.technikum-wien.at
